TV Show,Actor
גינת הפלאים של רינת,"גיא פרידמן, דודי גזית, ספי ריבלין, רוית יעקב, רינת גבאי"
דאוס,"מיכאל מושונוב, עדי הימלבלוי"
דיבוקים,"Aloïse Sauvage, Corentin Fila, Dominique Valadié, Nadia Tereszkiewicz, Reda Kateb, אריאן אסקריד, ז'ודית צ'מלה, נועה קולר, צ'קי קריו, צחי גראד, רועי ניק, שאדי מרעי"
דלת הקסמים,גדעון זינגר
דן ומוזלי,"בן פרי, דקלה הדר, טל בלכרוביץ', יובל סגל (1980), ירדן בר-כוכבא, ליאור כלפון, נעם פרנק, עידן אלתרמן"
דני הוליווד,"גאיה טראוב, גילה אלמגור, טל טלמון, רן דנקר, שי פלד, שירה קצנלנבוגן, שני כהן"
דפנה ודודידו,"גיא פרידמן, דפנה דקל"
האי,"אביגיל הררי, אפרת בן יעקב, דניאל מורשת, יון תומרקין, יעל גרובגלס, מיקי גבע, עוז זהבי"
האיש שרצה לדעת הכל (סדרת טלוויזיה),"אוהד קנולר, אורי לייזרוביץ', אימרי ביטון, אלי אלטוניו, טום באום, מוריס כהן, מיה דגן, משה פרסטר, נטע ריסקין, עינת הולנד, עירית קפלן, קרול וואירס"
האישה באפור,"ז'אק כהן, יחזקאל לזרוב, לימור גולדשטיין, מוטי כץ, עמוס לביא"
האלופה,"יהודה לוי, לירון וייסמן, לירז צ'רכי, מיכל גבריאלוב, עדי הימלבלוי, עפר שכטר"
הבאר,רומי אבירם
הבורר,"אניה בוקשטיין, יהודה לוי, לירית בלבן, משה איבגי, נטע גרטי, ציון ברוך, שלום מיכאלשווילי, שלומי קוריאט"
החברים של נאור,"ארז כהנא, בני אבני, דנה פרידר, יובל סמו, יוני זיכהולץ, מירב פלדמן, מלי לוי-גרשון, נאור ציון, שלומי קוריאט, תמר קינן"
החדש של עומרי גורדון,עידו רוזנבלום
החיים זה לא הכל,"אבי קושניר, יעל לבנטל, מוטי כץ, נורית כהן, עידן אלתרמן, ענת וקסמן, שלמה וישינסקי"
החמישייה הקאמרית,קרן מור
החצר,"איילת מרגלית, לוסי דובינצ'יק, מתי אטלס, עודד מנסטר, עמוס לביא, רננה רז"
הטבח,"גורי אלפי-אהרון, גל תורן, טום אביב, יעל אלקנה, קרן ברגר, רומי אבולעפיה, רותם סלע"
היהודים באים,"טל מוסרי, יוסי מרשק, יניב ביטון, יעל שרוני, מוני מושונוב, מעיין בלום, שירה נאור"
הילדים מגבעת נפוליאון,יון תומרקין
הישראלים,"אסי ישראלוף, ציון ברוך, שלום מיכאלשווילי"
הכספת,Davina McCall
המדרשה,יהודה לוי
המונה דופק,"אמנון פישר, אריה אליאס, ליאת ביין, עמוס לביא, ענת עצמון, צחי נוי, שמוליק קראוס"
המוסד,"אביגיל אריאלי, גיל פרנק, זאב שמשוני, מיכל זוארץ, נטע מורן, עזרא כפרי"
המנצח,"אוהד קנולר, אורי יניב, אפרת בן צור, גליה ישי, דב גליקמן, דודו באוכנר, דולב מסיקה, דליק ווליניץ, חוה אורטמן, ישראל גוריון, לאורה ריבלין, ליאור אשכנזי, נועה קולר, נינה קוטלר, רונה ליפז-מיכאל, ריקה שמיד, שי אביבי, שירה האס"
המסעדה הגדולה,ז'אק כהן
המפקדת,"אלונה סער, דור הררי, כרמל בין, מיה דגן, מיה לנדסמן, נועה אסטנג'לוב, נועם לוגסי"
המשרד (סדרת טלוויזיה ישראלית),דביר בנדק
הנפילים,"ג'ייסון דנינו-הולט, דביר בנדק, דן שפירא, הילה ערן, יניב פולישוק גרי המבורגרי, ליטל רוזנצוייג, סמי הורי"
הפיג'מות,אילן רוזנפלד
הפרלמנט,"אסי כהן, יובל סמו, ליאת הר לב, מריאנו אידלמן, ערן זרחוביץ'"
הרמון,"אלון אבוטבול, אסי לוי, אפרת אביב, גילת אנקורי, דוד שאול, הדר גלרון, חן אמסלם, טל טלמון, יורם טולדנו, נועם לוגסי, נטע שפיגלמן, ענת ברזילי, רומי אבולעפיה, שירה האס, שני קליין"
השוטר הטוב,"אורטל בן-שושן, גיא לואל, ורד פלדמן, יגאל עדיקא, יובל סמו, לאורה ריבלין, משה איבגי"
השוטרים,"אלי פיניש, צחי הלוי, שני כהן"
השיר שלנו,"אניה בוקשטיין, נינט טייב, רן דנקר"
השכונה של הופ!,"חיים אוסדון, טוביה צפיר, יובל שם-טוב, מיכל הקטנה"
השמיניה,"אבי קורניק, דון לני-גבאי, דני לשמן, הילי ילון, ידידיה ויטל, מיכאל אלוני, עדי הימלבלוי, שירה וילנסקי"
