Actor Name,Work
אהרן איפלה,"A Ghost in Monte Carlo, Eye of the Widow, Madron, The Bible, The Concorde ... Airport '79, The Shooting Party, Vibes, אישתר, בנו של הפנתר הורוד, המומיה, המומיה חוזרת, הפשיטה על אנטבה, זאנאדו, כנר על הגג, מלחמתו של צ'ארלי וילסון, משה"
אהרן מסקין,"המלט, מקבת, סבינה והגברים, רוחות, שירת הברבור"
אודי גוטשלק,"101 כלבים דלמטים, בית ספר לשטויות, גור ואוח"
אודי כגן,ארץ נהדרת
אודי כהן,אל תדחוף את האף
אודי פרסי,15 שנה
אודיה קורן,"The End of Love, טלנובלה בע""מ"
אודיה רש,"Cha Cha Real Smooth, Dangerous Waters, אומה, אנחנו מה שאנחנו, בעלת החלומות, החיים המוזרים של טימותי גרין, המעניק, טרף קל, כשהשלג יורד, ליידי בירד, מקום לאהבה, צמרמורת"
אודליה הלוי,Good Girls Revolt
אוהד קנולר,"Redacted, אנחנו לא לבד, בופור, בית בגליל, האיש שרצה לדעת הכל (סדרת טלוויזיה), הבועה, המנצח, הסיפור של יוסי, יוסי וג'אגר, מבצע פינאלה, מינכן, מעשייה אורבנית, סרוגים, שנת אפס, שעת נעילה"
אוהד שחר,ראש גדול
אוולין הגואל,"איזה מקום נפלא, בתי אהובתי, גט - המשפט של ויויאן אמסלם, הסוסיתא של הרצל, ילדות רעות, ישמח חתני, סוף העולם שמאלה, סיפור גדול, פיק אפ, שבעה"
אוולין קפלון,"Q113362730, איזה מקום נפלא, אין לה אלוהים, הדקדוק הפנימי, החברים של יאנה, הכלה הסורית, חיותה וברל, מכתבים לאמריקה, מפטיר, עפולה אקספרס"
אולגה דיניקובה,"Ispansi!, Marija"
אולגה קורקולינה,קיק אס 2
אולה שור-סלקטר,"איגור ומסע העגורים, אנטיגונה, הסיפור של יוסי, העולם מצחיק, להעיר את הדב"
אולי שטרנברג,נעלמים
און רפאלי,ג'סטה
אופירה גלוסקא,"בעסער מ'רדט נישט, שתיקה של זהב"
אופירה רחמים,"הדילרים, מרס תורכי, סיפור גדול"
אופליה שטראל,"אסקימו לימון, יש ליהודי ארצונת!..."
אופק פסח,מיוחדת
אור,"העולם מצחיק, רוק בקסבה"
אור אדרי,"עלילות ארץ גושן, תאג""ד"
אוראל צברי,זיגי
אורה מאירסון,מדיאה
אורטל בן-שושן,"ביום שהאדמה רעדה, השוטר הטוב"
אורי אברהמי,"אלנבי רומאנס, השחף, מיראל"
אורי אומנותי,"בעל בעל לב, טלנובלה בע""מ"
אורי אילון,"A nakhṭ in Riyo, A ṭog in ir lebn, Der heyliḳer flam, אירמה לה דוס, מירלה אפרת"
אורי בנאי,"Djihad, ילדות רעות, שחור"
אורי גבריאל,"American Cyborg Steel Warrior, Byzantium, Hanna K., Second Tour, Tobe Hooper's Night Terrors, אבנים, איזה מקום נפלא, אלי, אנה ערביה, ביום שהאדמה רעדה, ביקור התזמורת, בלדה לאביב הבוכה, דלתא פורס 1 (ש.ל.ר), הבית של סדאם, הבריחה מערב הסעודית, הכלה הסורית, הממלכה, המתקפה (ש.ל.ר), הסוסיתא של הרצל, חולה אהבה בשיכון ג', חתה יסבח סבח, כיכר החלומות, מיראל, מפריח היונים, מקס ומוריס, מריה מגדלנה, סיפורי תל אביב, עלייתו של האביר האפל, עם סגולה, פאודה, שבוע ויום"
אורי גוב,קרתגו
