Actor Name,Work
בני אבני,"החברים של נאור, שלוש אמהות"
בני הין,This is Your Day
בר בלפר,מישהו לרוץ איתו
בר ברימר,"בעלת החלומות, חאנשי"
בר מיניאלי,מיוחדת
בר פאלי,"A Glimpse Inside the Mind of Charles Swan III, Headlock, Hyenas, Urge, איך פגשתי את אמא, יד בשווי מיליון דולר, נון-סטופ, רווח וכאב"
בר רפאלי,"כידון, סשן, פיק אפ"
ברוך ברנר,"אחים, מבצע חמניה"
ברונקה זלצמן,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?, מכירים אותך, דוד!..."
ברוריה אלבק,מדוזות
ברטה קפלן,"Der dibeḳ, אוי! אני מאוהב, קצת פרנסה ובריאות"
בריאן ג'ורג',"Blind Date, Bloodfist V: Human Target, Employee of the Month, Molly, Murder at the Cannes Film Festival, Po, Speed Zone!, Touch of Pink, איך להיפטר מהבוס, הכי רעשנים, המרחב, העולם שבפנים, לשמור אמונים, נער הבועה, רובין הוד: גברים בגטקעס"
ברכה נאמן,סבינה והגברים
בת חן סבג,מטומטמת
בת-אל פאפורה,"מטומטמת, פעם הייתי"
בתיה לנצט,בגלל חגורה
ג'וי ריגר,"The End of Love, אבירם כץ, אין בתולות בקריות, בית בגליל, מי זאת? (תוכנית טלוויזיה), שעת נעילה, תמונת הניצחון"
ג'וליאן שגרן,"Alfred the Great, The Great McGonagall"
ג'וליאנו מר,"The Last Warrior, Tobe Hooper's Night Terrors, Wedding in Galilee, Would You Have Sex with an Arab?, אסתר, בר 51, ברלין ירושלים, המתופפת הקטנה, זהר, יום יום, כיפור, מיראל, מלח הימה (ש.ל.ר), סיפורי תל אביב, קדמה"
ג'וני ערביד,"גמר גביע, הבריחה מערב הסעודית, המתופפת הקטנה, להישאר בחיים, סוף שבוע בתל אביב, קרוב לבית"
ג'ורג' איברהים,"Ticket to Jerusalem, התערבות אלוהית"
ג'ורג' אסקנדר,"Gaza mon amour, בית לחם, סבנה"
ג'וש שגיא,No Name Restaurant
ג'טה לוקה,"A ṿilde moyd, Mayn mame der general (Performance)"
ג'יזל סילבר,"אהבה קולומביאנית, בית""ר פרובנס, בעל בעל לב, דמיונות, מרס תורכי"
ג'ייד דייכס וויקס,קיבוצניקים
ג'ייד הדס סקורי,"בלקספייס, ברש"
ג'ייסון דנינו-הולט,הנפילים
ג'מיל ח'ורי,"Baaghi 3, God's Stories, גוף השקרים, הירושה, הכלה הסורית, מיראל, מיתה טובה, עלטה, עץ לימון"
ג'ף וילבוש,"Dawn Breaks Behind the Eyes, Keep Breathing, Polizeiruf 110: Crash, Schächten: A Retribution, המורדת"
גאולה נוני,"אירמה לה דוס, פיצוץ בחצות, פעמיים בוסקילה"
גאיה באר גורביץ',אבא מטפלת
גאיה גור אריה,"יומני החופש הגדול, נעלמים"
גאיה טראוב,"גאליס, דני הוליווד"
גאיה שליטא-כץ,מטומטמת
גאלה קוגן,בובות (טלנובלה)
גבי אלדור,בן לוקח בת
גבי עמרני,"אבנים, גט - המשפט של ויויאן אמסלם, דון קישוט בירושלים, זהר, מטומטמת, משפחת צנעני"
גד קינר,חנה ארנדט
גדי יגיל,"בלפר (סרט, 1978), נבסו"
גדליה בסר,"בית בגליל, דון ז'ואן, הינשוף, קשר הדבש"
גדעון זינגר,"Q93707418, Tatort: Der Tod des Tänzers, Tatort: Kinderspiel, אבו אל בנאת, אגדת שלושה וארבעה, דלת הקסמים, האישה בזהב, חמש חמש, סבינה והגברים, רק בלירה, תעלת בלאומילך"
גדעון שמר,"אחרי הנפילה, בלומפילד, דון ז'ואן, הדה גבלר, ללכת על המים, פיצוץ בחצות"
גולן אזולאי,"אזהרת מסע, אחת אפס אפס, הבלתי רשמיים"
גור בנטביץ',"אורחים לרגע, מי מפחד מהזאב הרע"
גורי אלפי-אהרון,"בלי פאניקה!, בלקספייס, הטבח, שליחותו של הממונה על משאבי אנוש, שקופים (סדרת טלוויזיה)"
גורי ויינברג,"The Desert Rose, מינכן"
גיא אריאלי,"ילדות רעות, פמת""א"
גיא הוכמן,אדומות
גיא זוארץ,"PPS, אנטרקטיקה, גאליס"
גיא לואל,"בובות (טלנובלה), השוטר הטוב, טלנובלה בע""מ, יותר איטי מלב, כאן גרים בכיף, למראית עין"
גיא מרוז,פיתוי
גיא עמיר,"זרים מושלמים, כיפור, מכתוב, עספור, פצועים בראש, שאטו עין כרם"
גיא פינס,הבועה
גיא פרידמן,"גינת הפלאים של רינת, דפנה ודודידו"
גידי גוב,"אשה זרה, הלהקה, המסע המופלא של אהרוני וגידי, כיפור, מסע אלונקות, שטוקהולם"
גיל אלון,"The Legend of Bhagat Singh, אויב העם, מר באום, שמיכה חשמלית ושמה משה"
גיל בלנק,לצוד פילים
גיל דסיאנו ביטון,הכוכבים של שלומי
גיל ססובר,עולמו המופלא של אוגוסטוס אגדתי
גיל פרנק,"אפטר, בשבילה גיבורים עפים, המוסד, לא רואים עליך, לחיי האהבה, מאיה, עונת הדובדבנים, שבעה"
גיל קפטן,"גור ואוח, עלילות ארץ גושן"
גילה אלמגור,"The Rose Garden, אהבה גנובה, אחרי הנפילה, אלדורדו, אמי הגנרלית, בטיפול, דני הוליווד, הבית ברחוב שלוש, החיים על פי אגפא, המקלט (סרט, 2007), הפטנט, הקיץ של אביה, ידיים קשורות, לילסדה, מבצע יונתן, מבצע קהיר, מדיאה, מחבואים, מינכן, מלכת הכביש, מצור, סאלח שבתי, על חבל דק, עץ הדומים תפוס (סרט), עשו, פורטונה, שחור, שלוש אמהות, שליחותו של הממונה על משאבי אנוש, שקופים (סדרת טלוויזיה)"
גילה גולדשטיין,ילדים טובים
גילה גולן,"העמק של גואנגי, ספינת השוטים"
גילי איצקוביץ',"בלקספייס, כדברא, קרב אוויר (סרט)"
גילי בן אוזיליו,היפוליטוס
גילי סער,"בובות (טלנובלה), המנגליסטים, מלך של קבצנים"
גילי שושן,"בסמה מוצ'ו, המשגיחים, ילדות רעות, צומת וולקן"
גיליה שטרן,"Candy Can Do It, Seven in Heaven, איזה מקום נפלא, הבוגד הקטן"
גילת אנקורי,"הרמון, חמש חמש, טלנובלה בע""מ, לב שקט מאוד, שמיכה חשמלית ושמה משה"
גיתית פישר רודמן,"זאת וזאתי, לבד בבית"
גל אוחובסקי,הבועה
גל אמיתי,"גאליס, מכתוב, פלמ""ח, קבלו אותי"
גל גדות,"999, Criminal, Cut for Time: The Last Fry (Gal Gadot), E! New Line Up, Espionage, First Date, In the Hand of Dante, Justice League Part Two, Mirage, The Maiden and The Mice, The Naomi Show, Themyscira, באטמן נגד סופרמן: שחר הצדק, בובות (טלנובלה), דייט לילי, הודעה אדומה, השכנים של ג'ונס, וונדר וומן, וונדר וומן 1984, כמו יום ולילה, לב של אבן, ליגת הצדק, ליגת הצדק: גרסת סניידר, מהיר ועצבני, מהיר ועצבני 4, מהיר ועצבני 5, מהיר ועצבני 6, מהיר ועצבני 7, מהיר ועצבני 9, מוות על הנילוס, עספור, קטמנדו, שושנה חלוץ מרכזי, שלגיה"
גל זייד,"NO אקזיט, אדמה משוגעת, המופע של בני זינגר, חטופים, מרס תורכי, תנועה מגונה"
גל לב,"אודם, איש חשוב מאוד, העולם מצחיק, חצויה, לא רואים עליך"
גל מלכה,בעלת החלומות
גל פרידמן (שחקן),המשגיחים
גל תורן,"אנטילופות, הטבח, לאבד את אליס, פרה אדומה (סרט)"
גלי בן גיאת,מטומטמת
גלי עטרי,דיזנגוף 99
גליה אלבין,ריקוד מסוכן
גליה ישי,"המנצח, מטומטמת"
גלית גיאת,"בלדה לאביב הבוכה, רימון הזהב"
גלעד אבנת,הבודדים
גלעד כהנא,האיש שבקיר
גלעד קלטר,ביום שהאדמה רעדה
גניה סנופ,על הספקטרום
גסאן עבאס,"200 Meters, Ticket to Jerusalem, When Pigs Have Wings, ארץ זרה, בקבוק בים של עזה, גמר גביע, יום יום"
גרא סנדלר,"אבנים, איגור ומסע העגורים, חיותה וברל, מדוזות, תמרות עשן"
גרשון פלוטקין,אבן על כל מיל
דאנה איבגי,"אבא מטפלת, אביבה אהובתי, אור, אפס ביחסי אנוש, את לי לילה, בית""ר פרובנס, בננות, גיבורים קטנים, המנגליסטים, הסודות, הפילגש, השחף, התנתקות, זהר, זמן אוויר, כלת הים, כנפיים שבורות, מעילה, סבוי, סינמה סבאיא"
דב גליקמן,"Munich Games, דרייבר, הלהקה, המנצח, מי מפחד מהזאב הרע, מכתבים לאמריקה, מסע אלונקות, שטוקהולם, שטיסל"
דב נבון,"ארץ נהדרת, דרייבר, זוהי סדום, חימו מלך ירושלים, מיראל, עבודה ערבית, פעם הייתי, קופה ראשית, שושלת שוורץ"
דב רייזר,"Anywhere Else, הפיזיקאים"
דבורה קידר,"יוצאים קבוע, רומן זעיר"
דבי בסרגליק,"מר באום, שמיכה חשמלית ושמה משה"
דביר בנדק,"איזה מקום נפלא, אנטרקטיקה, ברש, המוסד, המשרד (סדרת טלוויזיה ישראלית), המתקפה (ש.ל.ר), הנפילים, זמן אוויר, ילדים טובים, מאיה, מי מפחד מהזאב הרע, מרס תורכי, סברי מרנן, סיפור גדול, עוד אני הולך, עיר מקלט"
דדי זהר,Datia's Song Celebration
"דוב הרן, דב הרן",A ṿilde moyd
דוד בן-נתן,"A ṭog in ir lebn, Der ḳibitser (April 27, 1967), Gidʻon, Yoysef Bulof in Gidon, אלהים, אדם ושטן, יש ליהודי ארצונת!..., מירלה אפרת"
דוד ברוך,"אגדת שלושה וארבעה, אירמה לה דוס, עזית של הצנחנים, קומדיה של טעויות, שניים עשר המושבעים"
דוד מוכתר-סמוראי,כל אדם והאמת שלו
דוד קיגלר,"איולף הקטן, אני לא מאמין, אני רובוט?!, מפטיר"
דוד שאול,"העולם מצחיק, הרמון"
דוד שושן,צ'רלי וחצי
דודו ארז,"הקרמבויז, מטומטמת"
דודו באוכנר,המנצח
דודו דותן,זהר
דודו טופז,"בובות (טלנובלה), מניו יורק באהבה, תל אביב לוס אנג'לס"
דודו טסה,"בלדה לאביב הבוכה, לבנון, מאמי"
דודו ירדני,שש נפשות מחפשות מחבר
דודו ניב,"בית לחם, חסמבה ושודדי הסוסים"
דודי גזית,גינת הפלאים של רינת
דודיק סמדר,"אירמה לה דוס, מורדי האור, סבינה והגברים, שירת הסירנה, תחיה ותהיה"
דוית גביש,אנטיגונה
דולב מסיקה,"אופוריה, המנצח, נעלמים, פלמ""ח"
דון לני-גבאי,השמיניה
דור מוסקל,על הספקטרום
דור עשת,"איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?"
דור צויגנבום,"בלוז לחופש הגדול, דיסטורשן"
דורה מגר,"Der dzshaz zinger, אלהים, אדם ושטן, אריינגעצימבלט..., הרבצנו ודי., האט א ייד א וויבעלע"
דורון נשר,"צלילה חוזרה, קרובים קרובים"
דורון עמית,"Traumfrauen, להישאר בחיים"
דורון צברי,"אלף, גמר גביע, החברים של יאנה, המדריך למהפכה, סיפורי תל אביב"
דורון צפריר,בנות
דורון תבורי,"מדיאה, מחבואים, סרט וארוחת בוקר, עץ לימון, קטמנדו"
דורותיאה ליביו,Ṭaṭe du lakhsṭ (1974)
דורי בן זאב,"הקרב על הוועד, מר באום"
דורי טפר,"The Sixteenth Lamb, כובע קסמים, עולמו המופלא של אוגוסטוס אגדתי"
דוריד לידאווי,"Giraffada, בורג, הזמן שנותר: כרוניקה של נוכח נפקד, להישאר בחיים, מיראל, מסתור, עומאר"
דורין כספי,איגור ומסע העגורים
דורית בר-אור,אין לה אלוהים
דורית לב ארי,"הבלתי רשמיים, חמש שעות מפריז, קופה ראשית"
דיאן ניל,"Dracula II: Ascension, Dracula III: Legacy, NCIS, NCIS: ניו אורלינס, Power, Suits, חוק וסדר: מדור מיוחד"
דין גרבר,תמונת הניצחון
דין הפנר,אבא מטפלת
דין מירושניקוב,"נקמה יהודית 6, פולמון, תאג""ד"
דינה דורון,"Holy Lands, אגדת הנהר, אירמה לה דוס, אל תתעסקו עם הזוהן, חתונה מאוחרת, חתונת פיגארו, ישו, קריה נאמנה"
דינה לימון,"אנטרקטיקה, לגעת באושר"
דינה סנדרסון,קיבוצניקים
דיקלה,"בלדה לאביב הבוכה, כביש הסרגל (סרט)"
דליה לביא,"Black-White-Red Four Poster, Candide ou l'optimisme au XXe siècle, Catlow, Cyrano and d'Artagnan, Das große Liebesspiel, Il demonio, Jules Verne's Rocket to the Moon, La Celestina P... R..., La fête espagnole, Nobody Runs Forever, Old Shatterhand, One Night on the Beach, Shots in Threequarter Time, Some Girls Do, Ten Little Indians, The Game of Truth, The Return of Doctor Mabuse, The Silencers, The Spy with a Cold Nose, The Whip and the Body, חולות לוהטים, לורד ג'ים, קזינו רויאל (1967), שבועיים בעיר זרה"
דליה עמיהוד,"איך אתה הולך (23 בינואר 1959), מכירים אותך, דוד!..."
דליה פרידלנד,"החברים של יאנה, יום הדין, ליזיסטרטה, מי מפחד מווירג'יניה וולף, רק לא בשבת, שבע פעמים ביום, שרית, שש נפשות מחפשות מחבר"
דליה שימקו,"אחד משלנו, צלילה חוזרה"
דליק ווליניץ,"המנצח, חמש חמש, מסע אלונקות"
דלית קהן,"יום יום, מרס תורכי, עלילה, שירת הסירנה"
דן בן אמוץ,רגעים
דן וולמן,חולה אהבה בשיכון ג'
דן כנר,זהר
דן מור,"15 שנה, בשבילה גיבורים עפים, טהרן"
דן שפירא,הנפילים
דן תורג'מן,"K, אוונטי פופולו, אמור, לגעת באושר"
דן תורן,"Pink Subaru, אחד משלנו, בחינת בגרות, עתליה, שנת אפס"
דנה ברגר,לילסדה
דנה דבורין,"The Sixteenth Lamb, כובע קסמים, עולמו המופלא של אוגוסטוס אגדתי"
דנה לב,"מיוחדת, תאג""ד"
דנה מודן,"אבירם כץ, הבועה"
דנה מיינרט,"אלף, אפס ביחסי אנוש"
דנה פרידר,"בובות (טלנובלה), גאליס, החברים של נאור, הלהקה האחרונה בלבנון, חתולים על סירת פדלים, עספור"
דני בסן,אין שמות על הדלתות
דני גבע,"אלנבי רומאנס, עוד אני הולך, קבלו אותי, קרוב לבית, שנת אפס"
דני ליטני,החיים על פי אגפא
דני לשמן,"השמיניה, חצויה, עץ לימון"
דני קמושביץ,קיבוצניקים
דני שגב,"אוונטי פופולו, הבועה, ימים של אהבה, סרט עם קתרין דנב"
דני שטג,"אבנים, הדילרים, העולם מצחיק, זהר, מבול, מישהו לרוץ איתו, צומת וולקן"
דניאל אפרת,ילדים טובים
דניאל ג'יידלין,ג'רוזלם
דניאל גד,"גאליס, גאליס - קונקט, המזח, מפריח היונים, פצועים בראש, שבאבניקים, שבעה"
דניאל גל,"ביום שהאדמה רעדה, הלהקה האחרונה בלבנון, חטיפה - קו 300, תאג""ד"
דניאל ליטמן,"אזהרת מסע, בעלת החלומות, נעלמים, פולמון, קרב אוויר (סרט), שלטון הצללים, תאג""ד"
דניאל מגון,"The Sixteenth Lamb, אלנבי רומאנס, כנפיים שבורות"
דניאל מורשת,"גאליס, גאליס - קונקט, האי, המזח, חאנשי, כאן גרים בכיף"
דניאל סבג,"הצלילה, זגורי אימפריה, קיבוצניקים"
דניאל סטיופין,קופה ראשית
דניאלה וירצר,הבועה
דניאלה קרטס,"Moments Within Moments, אדומות, מבצע חמניה, מלחמת העולם Z"
דפנה ארמוני,"אהבה גנובה, בנא, יוצאים קבוע"
דפנה דקל,"דפנה ודודידו, זהר, מנגן ושר, פלאי קלעים"
דפנה לוין,"אבירם כץ, אופוריה, מרס תורכי"
דפנה רכטר,"אהבה מעבר לפינה, פיתוי, קשר עיר"
דקל עדין,"אביבה אהובתי, אופוריה, מבול"
דקלה אלקסלסי,שבעה
דקלה הדר,דן ומוזלי
דר זוזובסקי,"A Beautiful Imperfection, פמת""א, פצועים בראש, קורדרוי (סדרת טלוויזיה)"
דרור ברק,Grunts
דרור קרן,"Made in Israel, אביבה אהובתי, אדם בן כלב, אני לא מאמין, אני רובוט?!, היפוליטוס, העולם מצחיק, חמש שעות מפריז, יונה סידס, לילסדה, מדוזות, מטומטמת, סיפורי תל אביב, פעם הייתי, שנת אפס"
הדס ירון,"The Complexity of Happiness, היינו בני המזל, למלא את החלל, למראית עין, מריה מגדלנה, פליקס ומאירה, קוגל"
הדס מורנו,"NO אקזיט, טלנובלה בע""מ"
הדס קלדרון,"גאליס, פלאות"
הדר גלרון,"ברוריה, הרמון"
הדר רצון-רותם,"אלי, חטופים"
הוגו ירדן,ללכת על המים
הילה הרוש,"בת השוטר, זגורי אימפריה, לאן נעלם נימני?"
הילה וידור,"אושר עטוף בשמיכה, הדברים שמאחורי השמש, לוויה בצהריים, רגליים קרות"
הילה מצקר-הלוי,מי אתה בשבילי
הילה סורג'ון פישר,"אלף, ביקור התזמורת, הכוכבים של שלומי, מיתה טובה, מרס תורכי, סיפור גדול"
הילה סעדה,"ביקור התזמורת, להיות איתה, מלכת היופי של ירושלים, מנפאואר, סרק סרק"
הילה ערן,הנפילים
הילה פלדמן,"אנטיגונה, הדרך לאן, וביום השלישי, למלא את החלל"
הילה רביב-צור,מלאכיות בלבן
הילי ילון,"אלנבי רומאנס, אני לא מאמין, אני רובוט?!, השמיניה, מאיה, סוף שבוע בתל אביב, עץ לימון"
הישאם סלימאן,"בגדאד סנטרל, לילה בחיפה, פאודה, תמונת הניצחון"
הלנה ירלובה,"בתולות, חמש שעות מפריז, עשו, צילי, קדמה"
הנרי אנדראוס,Wajib
הנרי דוד,"Olympus Inferno, PPS, בוקר טוב אדון פידלמן, הבודדים, קירות, רוק בקסבה"
הרצל טובי,"לצוד פילים, מנפאואר"
ויטלי פרידלנד,חיותה וברל
ויקטור עידה,המנגליסטים
ויקטור שנדרוביץ',Q4257634
ולדימיר דולינסקי,"An Ordinary Miracle, Confrontation (2024 series), Fat Stupid Rabbit, Give me a complaints book, In the Thirteenth Hour of the Night, Ispanskiy voyazh Stepanycha, Q4124278, Q4384229, Q52839564, Soviet Park, Strasti po Vladimiru, The Life and Adventures of Mishka Yaponchik, The Story of Voyages, The Very Same Munchhausen, V ozhidanii chuda, ד'ארטניאן ושלושת המוסקטרים, כוכב האושר שובה הלב, שלום לביתך!"
ולדימיר פרידמן,"אחת אפס אפס, ביום שהאדמה רעדה, בית""ר פרובנס, החברים של יאנה, המתקפה (ש.ל.ר), הפורצת, הקרב על תל חי (דרמת טלוויזיה), חמש שעות מפריז, ילדות רעות, כנפיים שבורות, קירות, רוק בקסבה, שושלת שוורץ, שנת אפס"
ולדימיר שאינסקי,8 ½ $
ולנטין ניקולין,"Chelovek menyaet kozhu, Failure of Engineer Garin, Kind Men, Q113290719, Q4055387, Q4114744, Q4224120, Tayna villy Greta, The Brothers Karamazov, Three Fat Men, קפה עם לימון"
ורד פלדמן,"PPS, אזהרת מסע, איולף הקטן, בית בגליל, השוטר הטוב, להישאר בחיים, מי מפחד מהזאב הרע"
ז'אנה גלבובה,Silvia
ז'אק כהן,"In Trouble, אביבה אהובתי, בלוז לקיץ, בלומפילד, בלפר (סרט, 1978), האישה באפור, המסעדה הגדולה, תיק ירושלים, תל אביב לוס אנג'לס"
ז'יל בן דוד,"אין לה אלוהים, בנו של האחר, יובל המבולבל (סדרה), רחוב סומסום"
ז'רמן אוניקובסקי,Q124613908
זאב ברלינסקי,מורדי האור
זאב רווח,"The Last Warrior, בובה, בית""ר פרובנס, גט - המשפט של ויויאן אמסלם, דלתא פורס 1 (ש.ל.ר), הבריחה מערב הסעודית, העולם מצחיק, התקווה לניצחון, חגיגה בסנוקר, חמישה ימים בסיני, מיתה טובה, סבינה והגברים, סיירים, פעמיים בוסקילה, שלטון הצללים, תיק ירושלים"
זאב שמשוני,"אלוהי הפסנתר, המוסד, נגוע, פלאש, צלילה חוזרה"
זבולון מושיאשווילי,"מלח ים, מפטיר, עפולה אקספרס"
זהר ליבה,"El Cid, בובות (טלנובלה), הבועה, ריקוד מסוכן"
זהר שטראוס,"אחת אפס אפס, אלף, האופה מברלין, הדברים שמאחורי השמש, לבנון, מדוזות, מיראל, מעשייה אורבנית, מרס תורכי, עיניים פקוחות, פמת""א, קירות, שטיסל"
זהרירה חריפאי,"אבו אל בנאת, בגלל חגורה, השוטר אזולאי, חמש חמש, יהודית, מדוזות, סאלח שבתי, סבינה והגברים, צלילה חוזרה"
זיגו כהנא,"A nakhṭ in Riyo, Der heyliḳer flam, Der zingendiḳer milner, Mayn mame der general (Performance)"
זיו מאיר,פים פם פה - בארמון הקסמים
זיוה רודן-שפיר,"China Gate, Pharaoh's Curse, Teenage Doll, The Giants of Thessaly, The Story of Mankind, The Tattered Dress, באטמן, קינג קריאול, רכבת אחרונה מגאנהיל"
זיוית אברמסון,אחרי הנפילה
זלמן לביוש,"אבן על כל מיל, גבעה 24 אינה עונה"
ח'אולה דיבסי,"God's Stories, סוף שבוע בתל אביב, עלטה, פאודה, קרוב לבית, רוק בקסבה"
ח'ליפה נאטור,"Tale of the Three Jewels, When Pigs Have Wings, ביקור התזמורת, בנו של האחר, החתונה של רנא, הירושה, ויהי בוקר, ערבים רוקדים - זהות שאולה"
חגית דסברג,"גולם במעגל, החיים בינתיים, העדות, וביום השלישי"
חוה אורטמן,"המנצח, שבלולים בגשם"
חוה אלברשטיין,"אין שמות על הדלתות, סיפור אינטימי"
חיה הררית,"Journey Beneath the Desert, La Donna del Giorno, Q102417280, The Last Charge, The Secret Partner, אבן על כל מיל, בן חור, גבעה 24 אינה עונה, הרופאים הצעירים"
חיים אוסדון,השכונה של הופ!
"חיים איינסמן,חיים אינסמן","איך  אתה הולך?, איך אתה הולך (23 בינואר 1959), איך אתה הולך?, מכירים אותך, דוד!..."
חיים אמיתי,"אגדת שלושה וארבעה, אמא קוראז' וילדיה, דודה ליזה, כל אדם והאמת שלו, שניים עשר המושבעים"
חיים אתגר,פיתוי
חיים בוזגלו,דיסטורשן
חיים בנאי,"Mayn mame der general (Performance), הבית ברחוב שלוש, חולה אהבה בשיכון ג', סוף שבוע בתל אביב"
חיים זנאתי,"אדומות, אליס, דיסטורשן, המשגיחים, כידון, מלך של קבצנים, סוף שבוע בתל אביב, עיניים פקוחות"
חיים חובה,"הבעל הנצחי, המשגיחים"
חיים טופול,"Galileo, Left Luggage, The House on Garibaldi Street, אלדורדו, ארבינקא, הטל צל ענק, העין הציבורית, כנר על הגג, לעינייך בלבד, לפני בוא החורף, סאלח שבתי, פלאש גורדון"
חיים שריר,"למלא את החלל, מבצע חמניה"
חלי גולדנברג,"בנות, עלטה"
חן אמסלם,"אתי אלון - האישה שגנבה 250 מיליון, בני מצווה, הרמון, זגורי אימפריה, מכתוב, פמת""א, שלטון הצללים"
חן רוטמן,"זאת וזאתי, חנאל ומכבית"
חנה אזולאי-הספרי,"אנשים כתומים, בנות, חולה אהבה בשיכון ג', נאדיה, צמות, שבעה, שושלת שוורץ, שחור, שמיכה חשמלית ושמה משה"
חנה טנצר,לחיות ולצחוק
חנה לסלאו,"101 כלבים דלמטים, Anywhere Else, PPS, אדם בן כלב, אולטימאטום, אזור חופשי, בלפר (סרט, 1978), בנות הזהב (סדרת טלוויזיה ישראלית), גבעת חלפון אינה עונה, המועדון לספרות יפה של הגברת ינקלובה, לילה בחיפה, נבסו, עלילה, קשר הדבש, שבעה"
חנה מרון,"M, Marriage in Trouble, אבן על כל מיל, אדם בן כלב, דודה קלרה, הדה גבלר, יום יום, קרובים קרובים, שיר ערש לאבי"
חנה רובינא,"אמא קוראז' וילדיה, דודה ליזה, כל אדם והאמת שלו, רוחות"
חנה רוט,רחוב סומסום
חנה ריבר,"בעסער מ'רדט נישט, שתיקה של זהב"
חנה'לה הנדלר,"אמא קוראז' וילדיה, כל אדם והאמת שלו"
חנוך רעים,אפטר
חני נחמיאס,"101 כלבים דלמטים, בחדר של חני"
חני פירסטנברג,"הגולם (סרט, 2019), הפלנטה הבודדה ביותר, יוסי וג'אגר, מדורת השבט, עיר מקלט"
חנן סביון,"בילי, בעלת החלומות, זרים מושלמים, יוסי וג'אגר, מכתוב, עספור, פצועים בראש, שאטו עין כרם"
טארק קובטי,"Q128569143, Wajib, איש ללא סלולרי, ביקור התזמורת, בית לחם, ג'נקשן 48, הבוגד הקטן, הזמן שנותר: כרוניקה של נוכח נפקד, הירושה, הכלה הסורית, חיוך הגדי, טעם התפוחים אדום, להישאר בחיים, עומאר, עץ לימון, ערבים רוקדים - זהות שאולה"
טובה פרדו,"אויב העם, הרוצחים הקטנים"
טוביה דובלרו,חסמבה ושודדי הסוסים
טוביה צפיר,"גבעת חלפון אינה עונה, האינסטלטור, המועדון לספרות יפה של הגברת ינקלובה, השכונה של הופ!, טובי דובי, טלנובלה בע""מ, סברי מרנן, עם סגולה"
טוביה רוזנפלד,עלילות ארץ גושן
טום אביב,הטבח
טום באום,"האיש שרצה לדעת הכל (סדרת טלוויזיה), לילה בחיפה"
טום יפת,שכויה
טוני ברמן,כאן גרים בכיף
טטיאנה קנליס אולייר,האב
טינקרבל,"אזור חופשי, בקרוב יקרה לך משהו טוב, ג'ירפות, ההסדר, עיניים פקוחות"
טל בלכרוביץ',דן ומוזלי
טל טלמון,"דני הוליווד, הרמון"
טל מוסרי,"The Sixteenth Lamb, אח שלי הגדול, היהודים באים, זיגי, כובע קסמים, נעלמים, עולמו המופלא של אוגוסטוס אגדתי"
טל מן,עולמו המופלא של אוגוסטוס אגדתי
טל פרידמן,"אולטימאטום, ארץ נהדרת, האח של דריקס, המוסד, זוהי סדום, שושלת שוורץ"
טל קלאי,"אליס, הצגה יומית, נמס בגשם"
טלי אורן,נעלמים
טלי שרון,"בת השוטר, הדברים שמאחורי השמש, טלנובלה בע""מ, ילדות סכסכניות, כביש הסרגל (סרט), למראית עין, שלוש אמהות"
טליה ברטפלד,חאנשי
טליה שפירא,"בלפר (סרט, 1978), הבלש האמיץ שוורץ, משה"
יאיר להמן,"עלילות ארץ גושן, תמרות עשן"
יאיר לוטן,"דור מזוין, לילה אחד עם המלך"
יאיר לפיד,"יאיר לפיד (תוכנית טלוויזיה), עץ לימון, שירת הסירנה"
יאיר רובין,"בקרוב יקרה לך משהו טוב, עתליה, צלילה חוזרה, שמיכה חשמלית ושמה משה"
יאנה גור,"קירות, תמרות עשן"
יבגניה דודינה,"In Times of Fading Light, Made in Israel, אדם בן כלב, איולף הקטן, אין בתולות בקריות, אנה, ד""ר פומרנץ, המלך ליר, זמן אוויר, לא רואים עליך, מכתבים לאמריקה, סיפור חצי רוסי, קלרה הקדושה, קרקס פלשתינה"
יגאל זקס,לגעת באושר
יגאל נאור,"300: עליית האימפריה, Dead Europe, Green Zone, Riviera, Stratton, The Promise, אנטיגונה, הבית של סדאם, הבלתי רשמיים, ההסדר, הכוכבים של שלומי, התאבדות, חקירה מעבר לקווים, יוליוס קיסר, כביש הסרגל (סרט), מינכן, מפריח היונים, משימה חשאית בדמשק, עד לאזור לחימה, קלרה הקדושה"
יגאל שדה,"איולף הקטן, אנטיגונה, הדרך לאן, המלך ליר, מאיה, שליחותו של הממונה על משאבי אנוש"
יגאל שילון,אחד באפריל
ידידיה ויטל,"בילי, השמיניה, חצויה"
ידין גולדמן,אחרי הצלצול (סדרת טלוויזיה ישראלית)
ידין גלמן,תמונת הניצחון
יהודה אפרוני,"אגדת שלושה וארבעה, אויב העם, אותלו, אירמה לה דוס, אמא קוראז' וילדיה, הכתובה, הרוצחים הקטנים, השקרן, חלום ליל קיץ, מבצע שטריימל, פיתוי, קומדיה של טעויות, שניים עשר המושבעים"
יהודה בארקן,"Robinson and His Tempestuous Slaves, חגיגה בסנוקר, כץ וקרסו, לופו, מלכת הכביש, נשיקה במצ""ח, צ'רלי וחצי, צומת וולקן, שתי דפיקות לב"
